text,difficulty
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
Buch,easy
Stuhl,easy
Tisch,easy
Milch,easy
Schule,easy
Hallo,easy
Danke,easy
Bitte,easy
Haus,easy
Wasser,easy
Brot,easy
Hund,easy
Katze,easy
Apfel,easy
Auto,easy
